@relation Banana-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S29-N2-F1

@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1,2}

@data
3.232575,0.856362,1
4.115036,-1.512084,1
-2.671113,-4.366382,1
5.193784,3.82668,1
1.404772,-3.909812,1
3.090264,5.50663,1
0.759091,-5.071059,1
-1.882521,-2.384636,1
3.518005,-4.365123,1
2.592837,3.934346,1
6.291152,3.347306,1
4.924822,-1.761598,1
3.508641,2.653624,1
4.261596,-4.120877,1
4.530384,5.57733,1
4.93684,-1.234843,1
0.072319,-3.31406,1
-2.308816,-1.016135,1
4.310328,-0.295371,1
-3.404,-2.604425,1
-0.098628,-5.261432,1
4.51436,-4.49337,1
4.275235,-1.80344,1
-1.869421,-3.75806,1
4.131962,-2.162396,1
-1.408769,-4.310422,1
-1.309019,-4.804284,1
-1.262324,-4.28398,1
-3.165715,-3.764603,1
3.907367,-1.879637,1
4.710235,-1.168086,1
-1.409003,-2.915838,1
3.009855,3.406429,1
0.586716,-3.33013,1
5.462373,0.264149,1
5.117139,2.373917,1
0.016729,-4.917885,1
1.656159,-5.205337,1
5.337316,-2.024271,1
0.397402,-2.700813,1
-1.026269,-5.658073,1
3.21769,-0.01066,1
5.519943,2.016345,1
-1.054939,-2.90971,1
3.914392,0.190141,1
4.621522,0.061448,1
1.332681,3.980692,1
5.05366,-1.761027,1
-3.373182,-4.981476,1
4.58021,-5.11762,1
-4.089624,-2.911292,1
0.927852,-4.675092,1
5.793685,2.17029,1
1.799559,-5.846516,1
4.439588,-2.207252,1
-0.748007,-6.156299,1
5.584583,2.109118,1
1.552142,5.51573,1
3.87288,-3.116764,1
7.025657,-0.187925,1
4.306168,-2.803635,1
2.959577,4.042099,1
4.082406,2.605302,1
6.6498,0.01984,1
3.100821,1.670853,1
4.57006,3.557813,1
1.923431,-3.756432,1
5.631237,-0.161344,1
0.670329,-5.861207,1
-1.585748,-5.374386,1
-3.209767,-5.580301,1
-6.103238,-1.638199,1
4.401392,-1.352064,1
5.583123,0.942767,1
1.999172,3.772219,1
-1.61901,-4.444307,1
-6.485929,-2.901773,1
0.544397,-5.077699,1
-3.267675,-1.387098,1
-4.636858,-0.887698,1
5.119571,2.540375,1
5.648193,0.886995,1
2.351262,-2.916765,1
4.727061,-0.073253,1
-2.095734,-3.202946,1
3.243818,4.371457,1
2.66701,-0.712673,1
0.00139,-2.927958,1
4.458394,2.857084,1
1.844763,-5.978581,1
-1.418233,-3.793899,1
-0.50289,-6.150899,1
5.266233,-0.403243,1
2.929955,-5.898443,1
-4.817551,-3.313761,1
1.311351,-4.941718,1
0.742387,-4.918568,1
5.899224,-2.173257,1
-0.846305,-5.065874,1
2.563699,-3.331704,1
-3.290819,-2.906924,1
3.585602,-2.257206,1
-5.481631,-4.824511,1
-2.741526,-4.286766,1
1.586796,4.291325,1
5.667051,0.090249,1
-4.43281,-2.564099,1
4.976111,-2.868183,1
3.79548,-1.124195,1
-5.112714,-3.443869,1
5.194883,-4.20505,1
1.893944,-3.829352,1
6.115817,-2.278064,1
3.901354,-1.524775,1
1.742378,4.827417,1
3.865892,-4.893117,1
-1.824952,-5.802175,1
3.103948,3.678652,1
4.641922,-1.262794,1
4.714436,1.065998,1
4.136461,3.095939,1
1.180485,-4.790838,1
4.648774,2.235605,1
-0.120757,-4.113609,1
4.844322,1.54174,1
-2.660521,-2.469869,1
3.15445,1.15581,1
4.732074,-2.240773,1
3.914354,-2.68865,1
-4.107047,-2.346057,1
5.616002,2.394852,1
5.472237,0.236369,1
5.354824,1.857095,1
-0.96023,-4.725324,1
3.269315,-0.48871,1
3.114302,3.369196,1
5.232975,0.515446,1
-0.750408,-3.719302,1
3.461092,-4.012971,1
3.774121,2.579456,1
5.179317,1.81824,1
5.146517,1.513307,1
-0.507778,-4.38588,1
2.568573,3.121674,1
3.745306,-1.37484,1
2.6719,3.536628,1
3.857337,2.495585,1
-1.227194,-3.766562,1
-2.475617,-5.272424,1
5.095561,0.302434,1
1.010641,3.504288,1
5.393144,3.206559,1
3.685674,2.238529,1
-1.755129,-3.751112,1
6.300601,-2.502266,1
-5.583876,-4.085416,1
2.446804,-2.828221,1
-3.479811,-1.700646,1
4.504681,3.126922,1
-2.679117,-4.751544,1
-0.702965,-6.392794,1
-2.920653,-2.917605,1
2.541876,-4.404938,1
2.132469,-5.521905,1
4.763916,-0.919821,1
0.505381,-4.608549,1
5.032402,-0.887718,1
-1.398662,-3.825944,1
4.670379,0.067213,1
4.205411,0.440015,1
4.796195,-2.205658,1
4.409934,-1.358367,1
4.761743,2.130253,1
1.65152,-5.871864,1
6.053968,1.975547,1
3.935028,-4.078328,1
3.465178,-3.294864,1
-1.41816,-4.474776,1
