@relation Banana-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1

@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1,2}

@data
-4.515288,0.369791,2
-7.523198,-0.531757,2
-1.871346,-1.686297,2
-8.83117,-2.603461,2
0.48772,-3.630929,2
-8.963238,-1.894672,2
-1.377518,1.07703,2
0.51875,0.56841,2
0.503744,1.59383,2
-6.109568,-9.705839,2
0.988808,-0.787615,2
-7.123477,-6.059267,2
-8.456658,-6.04018,2
-6.730878,-4.45627,2
-8.231715,-4.026544,2
-2.85256,0.246179,2
-5.387784,-8.199372,2
-6.810266,0.903007,2
-9.025483,-0.221266,2
-8.613532,-8.155542,2
-2.230945,1.601417,2
-7.421666,-0.846386,2
-0.368005,1.098149,2
-9.089369,-4.873428,2
-7.999169,-2.615306,2
-7.8766,-0.862481,2
-1.789101,0.432776,2
-1.985778,1.015283,2
-6.257536,1.521501,2
1.581257,-1.331427,2
-6.53141,0.530928,2
-9.482715,-0.203829,2
-8.231542,-2.975821,2
-1.545637,-0.346962,2
-8.107092,0.010309,2
-1.773739,0.800267,2
-1.537733,0.090276,2
-8.315787,-3.674015,2
-5.876765,0.828846,2
1.343549,0.621377,2
-9.932678,-4.821684,2
-5.254018,-1.192046,2
-6.541954,-7.796207,2
-5.070008,0.332914,2
-9.015973,-2.294723,2
-8.610062,-4.824637,2
-7.705631,-7.779632,2
-6.500977,0.775272,2
-1.441008,0.015388,2
-7.210641,-0.018079,2
-9.624286,-5.328482,2
-7.116001,-0.157757,2
0.685138,1.334603,2
-1.671086,1.365806,2
-3.346495,1.054471,2
-4.512849,1.406778,2
-7.619036,-5.974617,2
-1.645914,1.006757,2
-4.203615,0.422129,2
0.606772,-0.774585,2
-0.845133,1.502147,2
-9.355632,-1.284096,2
-10.031061,-5.835991,2
-7.836924,-7.463948,2
-10.600532,-3.289107,2
-8.752581,-1.834118,2
-4.613217,-7.696137,2
-1.389414,-0.014751,2
-9.37601,-2.202745,2
-3.598109,0.526741,2
-3.985507,1.468289,2
-8.069668,-4.531651,2
-7.426941,-4.356305,2
-0.819666,-0.2649,2
-4.99346,0.954079,2
-6.945045,-5.637582,2
-6.240165,0.267171,2
-4.145299,1.075017,2
-5.787961,-6.73569,2
-6.248283,-7.793821,2
-6.946342,-6.975643,2
-6.202401,-8.164712,2
-4.039775,2.061648,2
-6.992418,-7.823603,2
-7.107874,-3.737755,2
-7.552199,-4.415434,2
-9.046819,-1.270368,2
-0.495586,0.931921,2
-8.187963,0.727831,2
-6.471107,1.668048,2
-5.463236,-7.575794,2
-1.233523,1.85123,2
-0.492242,1.155868,2
-7.369319,-4.810722,2
-6.282074,-0.384592,2
-8.950044,-4.407833,2
-1.4729,-2.615963,2
-8.266038,-4.50376,2
-8.810449,-4.412297,2
-0.533051,0.10187,2
-2.386578,2.104417,2
-8.966125,-5.216362,2
-6.008649,0.025107,2
-7.700634,-3.484014,2
-1.903084,2.429543,2
-2.821094,3.07064,2
-8.793088,-5.86929,2
-11.115343,-4.352252,2
-0.860994,-2.111307,2
-0.254547,0.213313,2
-0.167849,-1.949264,2
-8.185909,-6.739344,2
-7.102827,-2.448974,2
-7.241944,-0.994953,2
-4.821242,0.644095,2
-7.303264,-7.339031,2
1.557022,-0.682397,2
-7.104081,-4.143203,2
-5.470469,-0.230705,2
1.413142,-1.282072,2
-2.227536,-1.221827,2
-1.183016,0.341817,2
-3.08297,0.908811,2
-7.287523,-7.624145,2
-6.795441,0.558766,2
-7.718088,-2.755255,2
-8.515265,-3.89141,2
-4.955938,1.412113,2
-7.482338,-7.169338,2
-9.829,-5.047713,2
-6.776945,-10.175192,2
-7.399269,-7.773705,2
-0.473002,0.429423,2
-4.419347,0.672472,2
-6.688855,-1.066191,2
1.128456,-1.393998,2
-6.299342,-8.366698,2
-6.891645,-7.332689,2
-5.013572,1.706127,2
-5.151412,-10.470587,2
-7.21702,-6.159521,2
-7.959101,-6.149526,2
-8.508219,-2.279216,2
-2.360703,0.720758,2
-7.132173,-3.656894,2
-8.949908,-1.547876,2
-8.896761,-4.181408,2
-10.715842,-4.53902,2
-7.962033,-7.026955,2
-9.005498,-2.23258,2
-6.766104,0.048982,2
-6.591212,-1.895388,2
-10.291252,-4.274093,2
-8.833518,-3.343293,2
-7.131717,-8.199704,2
1.029638,0.512519,2
-8.676757,-1.664373,2
0.092515,-0.952335,2
-8.05372,-2.603206,2
-5.9876,-0.087109,2
-8.277461,-0.978774,2
-7.271362,-5.326617,2
-6.144514,0.08145,2
-1.776841,0.343308,2
-8.009788,1.711325,2
-8.098575,0.386114,2
-8.372368,-3.562797,2
0.301418,-0.28257,2
-8.679936,1.321263,2
-2.521216,0.41851,2
-3.607966,1.229331,2
-0.336319,-1.57569,2
-8.151027,-5.44053,2
-10.345855,-3.852971,2
-5.063689,1.293348,2
-12.0269,-1.37826,2
-1.361105,0.228486,2
-3.349346,0.393142,2
-6.600726,-2.776775,2
-2.372441,-0.504633,2
-8.537041,-2.143964,2
-8.643806,-5.047103,2
-7.082148,-7.975372,2
-9.713948,-1.609998,2
-4.396932,0.431383,2
1.616131,-1.497335,2
-3.338984,-0.966963,2
0.747803,-0.44955,2
-0.517561,0.70755,2
-8.634249,-4.747365,2
-8.902404,-3.801198,2
-6.07525,-8.407578,2
-5.036485,1.656081,2
-7.674626,-5.056747,2
-6.724398,-1.475976,2
-8.799087,-3.435605,2
-5.115854,1.49496,2
-5.990164,0.624306,2
-3.458601,0.683779,2
0.202931,1.033939,2
1.845185,-1.967389,2
-7.850453,-3.225122,2
-2.693119,-0.946948,2
-7.566081,-5.682733,2
-5.114501,-8.019124,2
1.178597,-0.445482,2
-4.086312,-2.07825,2
-10.137972,-1.152932,2
