@relation Banana-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S29-N2-F2

@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1,2}

@data
-1.429373,-3.340271,1
-2.261789,-4.415478,1
1.159543,-5.762327,1
1.177095,-4.497382,1
-5.209309,-1.190308,1
2.628915,3.180097,1
3.164819,1.383306,1
4.230436,1.364825,1
-1.644868,-3.745839,1
4.336035,3.778549,1
-2.10997,-3.06424,1
-3.069882,-3.657531,1
5.645823,2.796021,1
-4.94524,-4.562406,1
4.151608,3.064892,1
-1.055845,-7.466578,1
4.806978,2.360902,1
4.466544,2.764856,1
0.56301,-4.19943,1
3.593144,4.990357,1
4.994498,0.780379,1
-2.889489,-1.41927,1
1.119999,-6.051008,1
3.45535,-3.688384,1
5.049976,0.829363,1
-3.242902,-2.894101,1
-3.298426,-2.31534,1
6.650219,-0.025462,1
-4.049929,-2.746584,1
-3.988372,-0.937434,1
6.244747,-0.33827,1
4.047936,1.756462,1
3.156971,-2.908458,1
1.093958,-4.707953,1
5.933026,-1.263176,1
3.793283,-4.448974,1
5.621771,-2.379362,1
4.335852,4.109379,1
1.625935,2.093469,1
3.8894,3.62712,1
-3.965769,-1.699299,1
1.855375,-5.033783,1
3.488552,-2.554259,1
0.994059,-3.273298,1
5.729831,-3.157686,1
4.602241,-5.717924,1
3.064751,-0.265375,1
-5.226423,-2.675312,1
3.699019,-2.724136,1
3.06505,-3.603756,1
0.922319,2.387662,1
5.009108,1.354375,1
0.890723,3.560287,1
0.390002,-5.245128,1
-0.518757,-3.673277,1
3.174724,3.543367,1
-3.801521,-3.948471,1
3.928441,-2.592334,1
3.478592,4.625499,1
2.316376,-4.908323,1
3.18288,3.025109,1
1.183314,-4.418723,1
5.122118,1.209773,1
-4.368592,-4.638366,1
3.439003,-3.00904,1
4.764044,0.23242,1
-0.708785,-4.145675,1
3.540835,-2.805809,1
-0.938945,-4.946771,1
1.321406,-4.710024,1
3.290546,-3.081431,1
-2.005009,-5.015221,1
5.47637,-0.174215,1
6.551942,-2.982056,1
3.49041,-2.721762,1
5.852412,-3.447557,1
-2.777205,-5.005641,1
-2.941052,-5.851285,1
5.428391,2.487253,1
-1.895804,-2.514415,1
-1.080805,-3.934568,1
3.67855,0.142448,1
-0.069091,-3.983517,1
3.791552,-1.446638,1
-2.09405,-6.422344,1
3.627213,-2.77032,1
4.615174,1.527349,1
4.416033,-2.309186,1
-2.174992,-4.512183,1
4.401064,-3.797982,1
5.007439,-0.332787,1
3.684377,0.000628,1
-1.974543,-1.941048,1
5.551266,-0.615961,1
0.157838,-4.037425,1
4.696467,-1.794677,1
0.832728,-3.223671,1
3.285153,-3.493638,1
-1.623102,-3.959687,1
4.019074,0.837201,1
-2.797576,-3.859235,1
-4.793785,-3.153318,1
-1.851303,-6.085014,1
-1.409911,-4.894438,1
1.150378,-5.762274,1
0.773626,-5.473197,1
3.718674,4.663309,1
-4.559171,-1.499524,1
4.437136,-0.136214,1
2.076362,-3.912652,1
-0.653883,-5.442147,1
-1.048247,-5.384564,1
2.246333,3.289716,1
-0.135809,-7.552608,1
-1.863896,-5.026142,1
5.01087,-2.55382,1
4.653412,0.317856,1
2.801537,-4.202474,1
1.686696,3.863913,1
3.461929,3.270489,1
-1.886629,-6.825947,1
-2.705196,-3.399023,1
-1.104843,-4.725215,1
-3.008766,-3.330342,1
0.573463,-3.929034,1
-6.602047,-2.579692,1
3.043786,-2.995505,1
2.571072,1.338165,1
3.067161,-1.079579,1
-0.996612,-4.921614,1
-0.351502,-3.48079,1
4.649149,3.751172,1
-1.520985,-6.06781,1
5.801255,-0.361606,1
-1.551008,-4.884517,1
-5.143861,-2.63517,1
-1.413683,-5.183453,1
4.246852,3.061873,1
5.173963,-1.587228,1
-3.711828,-3.562056,1
5.965207,3.16428,1
-0.40582,-3.817194,1
-1.532672,-4.395147,1
2.911343,4.599313,1
-1.607508,-4.107904,1
6.341279,-2.81833,1
5.227891,-0.759043,1
5.273738,4.159514,1
-2.776388,-3.10609,1
-4.771738,-3.439502,1
4.99292,1.552583,1
-2.817909,-3.069677,1
-3.215844,-2.90401,1
-3.924692,-5.951622,1
4.022532,-2.067284,1
4.251823,2.668411,1
4.75321,0.097162,1
6.553873,0.234863,1
3.847835,-1.886718,1
3.533387,4.262956,1
1.20857,-6.241718,1
7.231798,1.200659,1
4.919129,1.855921,1
3.680815,0.739683,1
5.166629,-0.961244,1
0.098936,-2.114821,1
4.569586,1.610512,1
2.270978,-3.292248,1
4.189041,-3.247113,1
5.350476,-1.985041,1
-3.642562,-4.697978,1
0.501528,-6.542302,1
-0.217583,-3.55199,1
-4.263928,-2.741323,1
2.896117,-3.79735,1
-3.645031,-4.61264,1
-2.498601,-3.874693,1
0.358492,-4.788183,1
2.751478,4.807424,1
-4.135383,-4.20366,1
1.803584,-3.51086,1
1.866698,-6.239887,1
-4.867763,-2.770524,1
4.30333,-0.469343,1
-3.716415,-4.210446,1
3.426681,-1.439622,1
3.720098,-1.312158,1
-2.035322,-4.205533,1
4.956264,-3.058871,1
-2.883831,-5.589224,1
2.926193,3.387841,1
4.203526,-3.737223,1
-1.121649,-4.474516,1
2.475763,3.56271,1
3.791446,-2.302525,1
5.633512,0.400296,1
1.51733,4.96215,1
-2.032609,-3.798903,1
3.262978,3.458491,1
3.885572,0.90853,1
4.70092,1.461965,1
-0.403509,-3.358888,1
2.919523,-3.897454,1
5.698548,-2.60524,1
-4.862008,-2.174333,1
4.83745,-3.64502,1
4.892867,2.879315,1
5.078305,1.275438,1
3.512084,2.606874,1
5.056983,-0.940547,1
6.014563,2.74208,1
4.958589,-3.729992,1
-4.934331,-2.561041,1
-3.669954,-1.598573,1
-0.136206,-4.733952,1
2.273368,-5.021092,1
4.414065,-1.503067,1
-3.219217,-5.458539,1
-2.481006,-3.487895,1
2.938093,5.899735,1
-3.656435,-4.498391,1
6.150248,-0.94747,1
-1.921535,-4.94137,1
-2.892441,-5.126483,1
4.244211,-0.517695,1
1.328957,-4.779869,1
-2.887711,-6.191233,1
0.194884,-5.521106,1
0.429417,-5.422143,1
4.310317,3.809339,1
3.665341,4.792242,1
3.334467,-4.881162,1
1.737544,-4.765573,1
-1.590542,-6.235843,1
3.982088,-1.839818,1
