@relation Banana-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S34-N2-F1

@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1,2}

@data
-0.846305,-5.065874,1
5.350476,-1.985041,1
3.067161,-1.079579,1
2.278403,-4.892689,1
4.108717,-0.295392,1
4.945118,1.215419,1
5.992466,0.156726,1
1.332681,3.980692,1
5.01087,-2.55382,1
2.446804,-2.828221,1
-0.192858,-4.835392,1
-0.593446,-6.352577,1
2.58266,-3.003764,1
5.616002,2.394852,1
1.613815,3.917879,1
-3.276847,-5.5713,1
3.908343,0.70886,1
-6.011172,-4.203337,1
2.66185,5.486752,1
5.585765,0.02822,1
-5.226423,-2.675312,1
4.04805,-0.708617,1
-1.520985,-6.06781,1
2.270414,3.532137,1
3.461929,3.270489,1
4.115036,-1.512084,1
-2.777205,-5.005641,1
5.05366,-1.761027,1
4.762055,-4.073425,1
6.244747,-0.33827,1
-0.938945,-4.946771,1
0.00139,-2.927958,1
4.3476,5.012492,1
5.197961,-0.60117,1
2.573993,-4.419665,1
4.336035,3.778549,1
-0.080524,-4.815896,1
5.590412,-1.381101,1
3.461092,-4.012971,1
2.070307,-3.241071,1
-2.767199,-4.43062,1
6.272614,2.961766,1
-2.261789,-4.415478,1
4.796195,-2.205658,1
5.472237,0.236369,1
-0.561346,-5.102142,1
1.700093,-5.89979,1
-4.882616,-4.857834,1
5.166629,-0.961244,1
5.797929,-1.04844,1
3.017516,3.679982,1
4.687993,-1.715518,1
-4.330676,-1.981345,1
6.115817,-2.278064,1
5.224276,-2.257814,1
-2.889489,-1.41927,1
-2.883831,-5.589224,1
0.768629,4.855762,1
4.615174,1.527349,1
-0.702965,-6.392794,1
4.994498,0.780379,1
3.844328,5.233333,1
1.849832,5.339839,1
3.41426,4.409763,1
4.217262,4.953016,1
5.424129,0.293692,1
4.205411,0.440015,1
-2.839689,-2.364495,1
5.909335,-0.711256,1
-1.295725,-5.110519,1
4.853983,-0.164072,1
4.275235,-1.80344,1
4.134116,-3.625365,1
0.762108,-2.820978,1
-0.893538,-5.63463,1
2.583474,-3.714581,1
1.083486,-6.446053,1
4.502455,2.60572,1
3.540835,-2.805809,1
3.798466,4.423614,1
0.994059,-3.273298,1
2.148264,-3.843499,1
4.958589,-3.729992,1
-1.886629,-3.625659,1
3.627213,-2.77032,1
1.295727,2.976391,1
3.638562,-5.372387,1
1.36562,-3.476829,1
5.396618,4.280272,1
-3.580645,-2.345253,1
2.841702,-4.54909,1
3.156417,-3.753195,1
-0.518757,-3.673277,1
3.665341,4.792242,1
-0.319308,-4.164723,1
0.834592,-3.012053,1
2.812059,-2.132786,1
4.458394,2.857084,1
3.334467,-4.881162,1
1.183314,-4.418723,1
6.650219,-0.025462,1
2.349225,-3.493667,1
4.926015,4.58575,1
4.649149,3.751172,1
4.058053,1.285494,1
-3.040962,-5.389921,1
-3.285726,-5.843507,1
-0.50289,-6.150899,1
4.126356,3.806295,1
3.382156,3.845364,1
3.935028,-4.078328,1
-4.867763,-2.770524,1
5.209871,0.462657,1
-2.776388,-3.10609,1
-3.917535,-1.114915,1
-0.217583,-3.55199,1
0.544397,-5.077699,1
4.416033,-2.309186,1
4.806978,2.360902,1
4.912201,-2.821524,1
4.246852,3.061873,1
1.947371,3.586825,1
-3.037431,-5.540932,1
5.342831,-0.346703,1
-4.051754,-3.821567,1
2.6719,3.536628,1
4.049359,-5.781473,1
-5.741764,-1.949167,1
-1.886629,-6.825947,1
4.093082,-5.939895,1
1.758052,5.036428,1
4.896255,-1.885867,1
-3.656435,-4.498391,1
3.314662,4.838969,1
0.927852,-4.675092,1
5.435075,-1.439071,1
2.09237,-3.490171,1
0.473785,-5.129745,1
-1.921535,-4.94137,1
-3.468736,-2.289426,1
5.729831,-3.157686,1
5.610203,2.610115,1
2.817331,3.50294,1
-3.801521,-3.948471,1
3.605666,3.27616,1
5.521825,-4.402465,1
4.230436,1.364825,1
5.122118,1.209773,1
-4.40093,-3.55006,1
4.991442,0.858713,1
5.179317,1.81824,1
3.741286,-2.396904,1
5.221261,-3.985146,1
-4.770654,-0.865805,1
1.799559,-5.846516,1
1.65152,-5.871864,1
-0.996612,-4.921614,1
-1.513651,-5.13791,1
4.189041,-3.247113,1
-6.602047,-2.579692,1
3.084493,-4.045619,1
5.410161,-1.391107,1
0.742387,-4.918568,1
3.790617,1.956695,1
-1.12518,-4.677679,1
5.032402,-0.887718,1
3.156971,-2.908458,1
0.890723,3.560287,1
1.705764,2.830422,1
-4.934331,-2.561041,1
-1.429373,-3.340271,1
3.512084,2.606874,1
3.243818,4.371457,1
4.569586,1.610512,1
4.696467,-1.794677,1
4.350972,4.446311,1
4.844322,1.54174,1
0.505381,-4.608549,1
6.109565,-1.423556,1
4.764044,0.23242,1
5.202274,3.723005,1
-6.238489,-4.773013,1
2.592837,3.934346,1
2.347163,-3.136507,1
3.21769,-0.01066,1
-3.008766,-3.330342,1
4.710235,-1.168086,1
3.009855,3.406429,1
0.080715,-3.380374,1
2.083962,-5.081799,1
3.811115,2.440327,1
2.167632,1.916703,1
1.521657,-4.92031,1
3.111295,-4.399448,1
1.803584,-3.51086,1
-2.887711,-6.191233,1
1.404772,-3.909812,1
0.832728,-3.223671,1
0.577213,-4.68737,1
5.128055,1.856661,1
3.928303,-1.780967,1
-0.757385,-4.606587,1
-0.37217,-6.600467,1
-1.409003,-2.915838,1
-4.19563,-2.706039,1
-1.500679,-4.616078,1
2.946233,5.462264,1
2.342973,-5.518261,1
3.901354,-1.524775,1
3.745306,-1.37484,1
0.30142,-5.020077,1
2.565286,-3.891789,1
-4.560213,-2.960936,1
-1.755129,-3.751112,1
-3.554614,-4.483018,1
-2.277491,-5.380152,1
4.13386,2.594646,1
4.310317,3.809339,1
5.71142,-2.029234,1
-3.373182,-4.981476,1
-4.43281,-2.564099,1
-0.208851,-4.851978,1
-1.413683,-5.183453,1
-1.21565,-2.197683,1
2.858819,2.785925,1
5.614265,1.152042,1
-7.62088,-2.166763,1
3.090264,5.50663,1
-3.247587,-3.571399,1
-4.242668,-3.133825,1
-3.160434,-4.750519,1
-3.001906,-4.429182,1
5.106389,-3.320556,1
1.625935,2.093469,1
3.678269,2.349104,1
4.242433,0.411314,1
4.567997,2.285941,1
-3.941689,-1.916199,1
0.226157,-3.291865,1
3.027631,2.550644,1
3.718674,4.663309,1
5.667051,0.090249,1
2.92062,3.141417,1
4.690039,0.853148,1
-2.695956,-4.541827,1
3.44071,-3.302037,1
3.942859,1.879124,1
-5.099099,-3.646999,1
-1.03874,-5.169577,1
3.100821,1.670853,1
-7.271362,-5.326617,2
-7.750017,-7.006896,2
-9.436226,-1.842256,2
2.811067,-1.28954,2
-7.942864,-6.798246,2
-7.426941,-4.356305,2
-7.722357,-2.433852,2
-0.750448,-2.04178,2
-6.487025,0.894252,2
-5.787961,-6.73569,2
-8.187963,0.727831,2
-2.230567,0.330914,2
-1.518739,1.380483,2
-9.171533,-2.67432,2
-8.362231,-6.044658,2
-7.854584,-3.671301,2
0.13356,0.48007,2
-8.532146,-1.018661,2
0.29477,-1.15488,2
-9.391019,-2.50131,2
-4.006709,1.139489,2
-6.150672,0.87133,2
1.616131,-1.497335,2
-5.055606,1.500606,2
-8.610062,-4.824637,2
-6.352664,0.094521,2
-7.221242,-5.690195,2
-6.483295,-0.470481,2
-6.41642,-1.224049,2
-5.95056,0.945351,2
-1.4729,-2.615963,2
-8.824915,-8.834188,2
-11.258665,-3.451746,2
-9.363522,-1.832724,2
-8.143866,0.35827,2
1.581257,-1.331427,2
-4.459772,-0.140211,2
0.970816,0.214962,2
-8.231542,-2.975821,2
1.617938,-2.494032,2
-6.439789,-0.508529,2
-2.165679,1.583003,2
-0.79201,0.360873,2
-0.740997,1.01292,2
-6.992418,-7.823603,2
-5.387784,-8.199372,2
1.413142,-1.282072,2
-3.374167,0.068159,2
-3.169516,1.366479,2
-8.992844,-2.154748,2
-5.982688,-7.600662,2
-10.077025,-6.02945,2
-7.485652,1.306229,2
-2.230945,1.601417,2
