@relation Banana-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1

@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1,2}

@data
-7.584541,-5.172231,2
-1.194333,-1.491529,2
-8.192673,-6.225705,2
-6.754866,0.34101,2
-0.860994,-2.111307,2
2.380882,-0.76657,2
-4.99346,0.954079,2
-7.999169,-2.615306,2
-5.717683,-8.585272,2
-10.091047,-2.58669,2
-6.55134,-1.091086,2
-7.705631,-7.779632,2
-7.482338,-7.169338,2
-7.350656,-5.83944,2
-7.619036,-5.974617,2
-0.106529,0.517331,2
-6.658447,-8.573004,2
-7.263643,-3.789481,2
0.486482,0.432447,2
-8.679934,-1.436436,2
-6.409277,-8.779093,2
-1.389414,-0.014751,2
-3.190935,1.741005,2
-8.124635,-7.216956,2
-8.896231,-5.787369,2
-5.994328,0.682921,2
-6.004713,0.226328,2
0.202931,1.033939,2
-7.050221,-6.653804,2
-9.67245,-6.314585,2
-0.833225,0.041728,2
-8.430707,-4.519209,2
-7.14257,-0.319128,2
-9.372288,-5.977308,2
-2.13763,0.705988,2
-7.932556,-0.624044,2
-2.526233,1.560335,2
-1.441008,0.015388,2
-7.993173,-1.795056,2
-0.492242,1.155868,2
-7.424184,-3.231844,2
-7.114357,0.808073,2
-6.854682,0.323072,2
-5.924267,-0.544585,2
-2.806896,1.872184,2
-7.264233,-8.611195,2
-7.132173,-3.656894,2
-1.985778,1.015283,2
-9.119396,-4.247096,2
-5.289346,-8.583328,2
-3.607708,0.75603,2
-7.175134,-6.871945,2
0.541699,0.688614,2
-5.609487,-7.249607,2
-8.462044,-0.995593,2
-9.713948,-1.609998,2
-10.678055,-7.828706,2
-5.991829,-8.608161,2
-8.009788,1.711325,2
-6.508165,-8.943647,2
-6.723577,-0.008179,2
-5.901065,0.108764,2
-6.707941,-0.403369,2
-9.319881,-3.893803,2
-8.380408,-1.214756,2
-7.306555,0.560539,2
0.775375,-2.996543,2
-3.136019,0.57238,2
-9.526046,-4.70844,2
-4.036415,1.221929,2
-7.632116,0.046599,2
1.343549,0.621377,2
-6.855728,-5.494268,2
-2.560383,-0.182314,2
-9.829,-5.047713,2
-6.801532,-7.478127,2
-9.887375,-5.58292,2
-2.834836,0.71135,2
-9.482672,-5.540364,2
-7.01101,-1.654211,2
-2.752101,0.086824,2
-5.50909,3.140087,2
-10.012124,-1.7479,2
-6.810266,0.903007,2
-5.063689,1.293348,2
-8.483459,-7.289339,2
-3.263225,1.761797,2
-2.121908,-0.12028,2
-8.963238,-1.894672,2
-6.949118,-2.13065,2
1.029638,0.512519,2
-9.312559,-3.360193,2
-10.619551,-3.187456,2
-6.299342,-8.366698,2
-5.624233,0.858401,2
-8.864825,-3.184883,2
-5.35292,-8.419377,2
-1.194118,-0.777712,2
-9.236499,-8.153666,2
-8.752897,-2.798491,2
0.697834,-1.305634,2
-8.600152,-3.167928,2
-2.30774,0.367978,2
0.332961,-1.061045,2
-5.358134,2.316234,2
0.092515,-0.952335,2
-2.986023,-0.101702,2
-5.93646,1.591187,2
-9.643012,-2.460973,2
-7.800677,-2.080928,2
-5.763871,-8.82364,2
-2.698135,-0.009156,2
-1.442045,2.577516,2
-8.326658,-6.970504,2
-2.85256,0.246179,2
-3.744879,1.756508,2
0.578692,-1.880861,2
-7.690378,-7.369255,2
-4.641907,3.178215,2
-7.750721,0.837041,2
-1.291908,-1.076583,2
-7.738428,-2.448408,2
-0.309636,2.983223,2
-8.211439,-7.345554,2
-6.899669,-0.108019,2
-5.84157,-9.158601,2
-6.655283,-7.536078,2
-0.504773,-0.894288,2
-4.204641,0.768269,2
-2.242041,0.076092,2
0.466831,-0.685231,2
-3.598109,0.526741,2
-4.712249,-0.099604,2
0.406596,-0.709129,2
-9.013718,-2.704785,2
-5.684828,-0.658188,2
-4.512849,1.406778,2
-0.959612,0.471902,2
-6.257536,1.521501,2
-8.643513,-1.228889,2
-6.248283,-7.793821,2
-4.868196,0.906565,2
-5.603722,0.259059,2
1.128456,-1.393998,2
-2.754391,0.144828,2
-10.418727,-2.084954,2
-8.048022,-2.370556,2
-8.83117,-2.603461,2
-0.845133,1.502147,2
-3.640572,2.568168,2
3.571573,-2.932298,2
-8.763539,-5.501857,2
-3.702445,2.770253,2
1.039782,-0.129253,2
-9.627823,-7.373911,2
-6.945045,-5.637582,2
0.704373,-0.954537,2
-9.574704,-3.495316,2
-4.899442,1.097732,2
-1.288581,1.525957,2
-8.742763,-3.663517,2
-5.893603,-8.842735,2
-8.098575,0.386114,2
-5.50807,-4.381176,2
-7.700634,-3.484014,2
-5.822861,-7.186603,2
-1.183016,0.341817,2
-4.401257,1.887264,2
-9.000939,-4.213839,2
-9.379827,-2.002041,2
-5.359642,0.697809,2
-8.437117,-1.735536,2
-4.8953,1.713594,2
-6.035225,-0.389679,2
0.592649,0.431662,2
-7.551401,-1.085509,2
-4.180606,1.228087,2
-6.911288,-8.23243,2
-5.3967,1.768763,2
-5.537126,-6.577778,2
-0.921855,0.648192,2
-3.326478,2.926484,2
-5.779105,0.713535,2
-6.776945,-10.175192,2
-9.355632,-1.284096,2
-6.392673,-8.076928,2
-6.094767,1.141016,2
-9.689839,-6.178229,2
-5.876765,0.828846,2
-1.773739,0.800267,2
-5.391725,-1.853716,2
-9.452878,-3.990214,2
-1.191199,2.818359,2
-9.251119,-9.153332,2
-9.005498,-2.23258,2
-5.254018,-1.192046,2
-8.896761,-4.181408,2
-0.897816,0.985547,2
-7.107874,-3.737755,2
-3.529849,0.972513,2
-9.236402,-3.125415,2
-1.280267,-0.359437,2
0.261888,-1.375227,2
-8.702241,-3.58674,2
-7.556272,-2.26856,2
-7.215461,-7.039834,2
-7.648729,1.397164,2
-6.397174,-0.42383,2
-7.508558,-0.613592,2
-6.744013,1.06834,2
-8.885608,-5.110267,2
-8.508219,-2.279216,2
0.070442,-2.183057,2
-8.636294,-3.409555,2
-6.690197,-5.998687,2
-7.0979,-7.434059,2
-5.116395,-0.001009,2
-6.8814,-9.554869,2
-6.572999,-8.832083,2
-8.107092,0.010309,2
-0.819666,-0.2649,2
-4.642591,1.933403,2
-6.802229,2.394101,2
-7.298585,-2.624284,2
-0.196624,-0.606578,2
-7.08767,-7.377731,2
-6.603954,-6.68329,2
-8.628952,-0.96075,2
-11.300527,-7.401843,2
-6.909375,1.577945,2
-0.493897,0.8647,2
-1.537733,0.090276,2
-5.596823,-3.985898,2
-2.693119,-0.946948,2
-0.480053,-0.305349,2
-6.908347,-8.279348,2
-9.227749,-8.839995,2
-6.315046,0.725719,2
-2.279529,-1.019191,2
0.13083,-0.448659,2
-5.114501,-8.019124,2
-8.870371,-4.760971,2
-6.982635,1.200781,2
-8.348162,-0.54934,2
-1.361105,0.228486,2
-8.451441,-1.952138,2
-4.468985,1.751878,2
-7.800634,2.094977,2
-6.766104,0.048982,2
0.844241,0.248982,2
-6.238491,0.246886,2
-4.079283,-0.86828,2
-7.114406,0.943301,2
-11.099064,-4.910432,2
-5.541416,1.603555,2
-5.470469,-0.230705,2
-0.142117,-0.791409,2
-7.89748,-7.842607,2
-0.036213,-0.018393,2
-6.348573,1.161901,2
-8.902404,-3.801198,2
-11.115343,-4.352252,2
-8.09018,-2.428593,2
-7.123477,-6.059267,2
-10.600532,-3.289107,2
-4.119895,3.064824,2
-7.959101,-6.149526,2
-1.903084,2.429543,2
-8.515265,-3.89141,2
-9.880225,-7.133901,2
-10.345855,-3.852971,2
1.50596,-0.866215,2
-7.195217,-6.74234,2
0.685138,1.334603,2
-1.377518,1.07703,2
-8.752581,-1.834118,2
-8.235301,-4.274711,2
-6.98466,-7.312028,2
-8.200095,-1.65676,2
-4.513777,1.655834,2
-6.918896,-4.07123,2
-7.00817,0.081067,2
-3.424064,0.082954,2
-2.521196,1.647425,2
-3.203491,0.265188,2
-1.783683,1.805735,2
-8.949908,-1.547876,2
-9.447416,-2.613761,2
-9.805679,-7.084957,2
-8.675471,-4.869077,2
-0.415056,-1.494654,2
0.203264,1.875451,2
-4.720189,-8.29892,2
-10.031061,-5.835991,2
-7.282375,0.752662,2
-9.18692,-2.510007,2
-8.950044,-4.407833,2
-8.629555,-1.446352,2
-8.454159,-1.008869,2
-4.276003,2.207241,2
-5.973263,2.107344,2
-0.315581,-0.090648,2
-6.688855,-1.066191,2
-9.927417,-2.418614,2
-4.349417,1.367849,2
-8.752738,-2.964922,2
-4.92782,-1.914045,2
-7.018437,-7.058033,2
-8.16411,-0.508924,2
-8.011313,-1.513076,2
-9.486376,-3.348023,2
-6.422916,-7.30744,2
-8.372368,-3.562797,2
-10.608493,-5.115616,2
-9.191172,-3.671692,2
-3.173737,0.203254,2
-8.500487,-2.315002,2
-7.200252,-6.79899,2
-8.190085,-0.650869,2
-6.011744,1.558335,2
-6.760677,-0.437217,2
0.301418,-0.28257,2
0.747803,-0.44955,2
1.156509,-1.542634,2
-5.036485,1.656081,2
-6.240165,0.267171,2
0.48772,-3.630929,2
-3.346495,1.054471,2
-4.640759,0.242184,2
-1.545637,-0.346962,2
-3.735411,-0.726895,2
-6.667078,-7.875921,2
-8.776198,-0.441454,2
-0.648408,-0.330146,2
1.557022,-0.682397,2
-7.421666,-0.846386,2
-10.073896,-4.680957,2
-9.932678,-4.821684,2
-8.237097,-0.697276,2
-5.083897,-9.987309,2
-3.028703,-0.133245,2
-7.681942,-0.416722,2
-1.478834,0.751065,2
-7.953154,-0.69392,2
-5.990164,0.624306,2
-2.237285,0.893813,2
-9.218582,-2.034951,2
-7.807494,-2.433809,2
-0.533051,0.10187,2
-9.592199,-5.384181,2
-6.910828,-6.850073,2
-4.161758,-0.229917,2
-7.96859,-7.06738,2
0.505018,-0.148154,2
-8.374957,-3.342637,2
-7.209773,-6.575425,2
-6.327569,-2.076944,2
-7.777308,-5.49064,2
-9.634756,-3.439531,2
-11.197808,-2.201149,2
-7.884212,-7.011861,2
-7.797575,1.908616,2
-1.946563,1.9211,2
-0.254547,0.213313,2
-8.65662,-7.372628,2
-5.080198,-8.592822,2
-5.151412,-10.470587,2
-2.904405,-0.413614,2
0.51875,0.56841,2
-6.498549,1.872082,2
-3.068318,1.62419,2
-0.482834,-2.627045,2
-7.159626,-1.337955,2
-5.138622,2.306439,2
-3.157576,1.04155,2
1.845185,-1.967389,2
-5.859921,-8.538463,2
-7.401357,-1.96263,2
-8.700638,-1.209597,2
-7.450122,-4.5665,2
-9.046819,-1.270368,2
-1.683485,2.055149,2
-7.850453,-3.225122,2
-5.651007,-1.46495,2
-3.7452,4.687605,2
-8.038814,-8.20474,2
-4.264745,-7.125776,2
-2.7964,1.421199,2
-5.876196,1.004265,2
0.596512,-1.18197,2
-8.643806,-5.047103,2
-2.168549,1.07744,2
