@relation Banana-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S34-N2-F2

@attribute A1 numeric
@attribute A2 numeric
@attribute Class {1,2}

@data
-0.748007,-6.156299,1
5.161674,-1.062655,1
3.287122,-1.611755,1
3.598351,2.593703,1
-2.679117,-4.751544,1
-3.48995,-4.001216,1
5.792055,-0.428787,1
-2.747149,-3.792485,1
-2.636125,-4.090795,1
5.361874,-1.827085,1
6.014563,2.74208,1
4.621522,0.061448,1
1.855375,-5.033783,1
4.627863,3.950635,1
3.914609,1.723999,1
6.205784,-1.076086,1
-0.394306,-4.216991,1
-3.394017,-2.670225,1
-2.941052,-5.851285,1
-1.079483,-6.246062,1
2.295807,-2.77252,1
-3.215844,-2.90401,1
-3.669954,-1.598573,1
3.570643,4.547853,1
3.533387,4.262956,1
1.844763,-5.978581,1
6.341279,-2.81833,1
-4.187766,-4.285262,1
2.933757,-3.877136,1
5.686391,2.450074,1
6.201498,1.636216,1
-4.204461,-3.170157,1
4.831299,-2.453543,1
5.519943,2.016345,1
3.373742,5.930341,1
5.130331,1.745631,1
2.395013,3.281998,1
-1.385806,-5.100792,1
3.774121,2.579456,1
5.145626,0.029677,1
-4.279568,-3.578909,1
0.098936,-2.114821,1
-2.848783,-3.816643,1
0.734436,-3.715746,1
5.095561,0.302434,1
-3.694535,-3.017646,1
5.179498,2.070569,1
3.334463,-3.207291,1
-5.990911,-2.178831,1
5.801255,-0.361606,1
2.452762,3.022661,1
2.473874,3.534823,1
0.771178,-6.119362,1
-2.032609,-3.798903,1
0.662037,-6.138833,1
0.995579,5.596467,1
-0.507778,-4.38588,1
4.402783,2.883526,1
3.5667,-1.393247,1
3.585602,-2.257206,1
4.401064,-3.797982,1
2.911343,4.599313,1
5.428391,2.487253,1
-5.694099,-2.676054,1
4.366941,-4.950108,1
4.169011,2.242419,1
-2.783848,-4.542964,1
5.648193,0.886995,1
-0.842921,-4.731201,1
-1.04094,-2.671644,1
4.714436,1.065998,1
4.530384,5.57733,1
4.834129,0.169096,1
3.793283,-4.448974,1
2.663609,-3.158592,1
4.632227,2.869591,1
-2.430902,-4.39778,1
1.180485,-4.790838,1
1.325126,-5.028925,1
0.358492,-4.788183,1
-5.317231,-2.386744,1
3.06505,-3.603756,1
-1.418233,-3.793899,1
6.292728,0.285761,1
5.528335,-0.793844,1
5.936472,0.470738,1
4.188143,-1.727963,1
0.397402,-2.700813,1
-5.620352,-5.314716,1
-3.838908,-3.597021,1
2.806985,-3.019489,1
-0.069091,-3.983517,1
4.83745,-3.64502,1
2.541876,-4.404938,1
3.8894,3.62712,1
3.663438,-4.65243,1
-2.475617,-5.272424,1
5.078305,1.275438,1
-0.712202,-3.246598,1
3.803634,-4.183629,1
-5.291076,-3.139124,1
5.893157,-2.951654,1
-3.069882,-3.657531,1
6.6498,0.01984,1
-3.711976,-1.987617,1
3.15445,1.15581,1
4.377573,3.072766,1
4.406937,2.595318,1
3.680815,0.739683,1
3.043786,-2.995505,1
3.164819,1.383306,1
3.615303,3.054109,1
4.434387,-3.461803,1
-4.585617,-3.892274,1
3.290546,-3.081431,1
-3.617144,-4.912128,1
4.203474,-3.183972,1
1.012003,-5.100127,1
3.87288,-3.116764,1
1.641427,-4.962637,1
-5.590969,-3.56608,1
2.54173,-2.24307,1
-3.711828,-3.562056,1
6.468887,-2.841973,1
3.914354,-2.68865,1
4.335852,4.109379,1
4.648774,2.235605,1
2.856351,-4.948752,1
6.551942,-2.982056,1
2.751478,4.807424,1
3.18288,3.025109,1
5.653813,-3.455417,1
-2.741526,-4.286766,1
-5.438423,-4.120964,1
-0.351502,-3.48079,1
4.022532,-2.067284,1
-0.157567,-5.414572,1
2.173471,5.685519,1
3.914392,0.190141,1
-2.498601,-3.874693,1
2.896117,-3.79735,1
-2.659458,-3.212589,1
5.101918,2.44347,1
-0.38833,4.4332,1
-5.804327,-2.105492,1
2.270978,-3.292248,1
1.586796,4.291325,1
0.200594,-4.574901,1
3.35775,1.440842,1
-1.17724,-5.056881,1
0.856934,-3.728075,1
3.79548,-1.124195,1
2.919523,-3.897454,1
-4.299828,-4.613292,1
0.128006,-6.025796,1
-3.256842,-2.833446,1
4.498429,2.858412,1
-1.810745,-6.985481,1
5.852412,-3.447557,1
4.310328,-0.295371,1
5.530888,-3.853202,1
-1.309019,-4.804284,1
4.879004,-2.069526,1
4.401392,-1.352064,1
-3.489025,-1.319736,1
-3.988372,-0.937434,1
5.056983,-0.940547,1
3.699019,-2.724136,1
-1.41816,-4.474776,1
1.376436,4.680924,1
0.490079,-5.56424,1
3.847835,-1.886718,1
4.727061,-0.073253,1
-1.532672,-4.395147,1
-1.869421,-3.75806,1
6.46497,-1.908716,1
3.567877,2.035196,1
3.720098,-1.312158,1
1.068934,1.350855,1
5.194883,-4.20505,1
-3.924692,-5.951622,1
2.384211,-3.80236,1
-3.642562,-4.697978,1
1.271182,3.171395,1
-3.007869,-3.839639,1
4.126758,1.03308,1
-0.099365,-5.461349,1
4.924089,2.92662,1
-1.681284,-5.460639,1
1.593869,2.725383,1
0.916969,-5.917843,1
1.325741,3.841062,1
1.213632,4.721323,1
4.062564,0.694926,1
-4.487322,-3.49131,1
-4.985242,-1.841482,1
0.773626,-5.473197,1
5.614299,-0.485139,1
4.244211,-0.517695,1
-3.264043,-3.074705,1
-6.538408,-3.652999,1
4.51436,-4.49337,1
-2.983514,-2.771082,1
-1.570343,-6.161951,1
-2.30446,-1.317315,1
5.583123,0.942767,1
4.408245,3.627567,1
5.009108,1.354375,1
3.465178,-3.294864,1
-1.080805,-3.934568,1
1.456497,-3.798542,1
2.757078,-4.676496,1
-2.892441,-5.126483,1
0.390002,-5.245128,1
4.732074,-2.240773,1
-2.797576,-3.859235,1
-3.307334,-4.003442,1
-4.763909,-2.560575,1
4.225782,-1.381042,1
6.506363,-2.217524,1
0.629852,-3.583212,1
1.923431,-3.756432,1
4.726202,-0.957436,1
3.460241,-3.302237,1
5.273738,4.159514,1
1.470741,1.944457,1
2.791836,-3.544858,1
-3.970518,-1.996198,1
-1.268156,-6.387084,1
-0.40582,-3.817194,1
5.007439,-0.332787,1
2.834328,-2.712542,1
4.57006,3.557813,1
-3.219217,-5.458539,1
0.987981,-4.428475,1
-1.026269,-5.658073,1
4.414065,-1.503067,1
4.251823,2.668411,1
3.548489,-1.549786,1
3.169631,-2.426889,1
4.919129,1.855921,1
0.157838,-4.037425,1
-1.863896,-5.026142,1
-3.776637,-3.764688,1
-5.112714,-3.443869,1
-2.035322,-4.205533,1
5.387602,-3.018812,1
4.082406,2.605302,1
3.578815,3.667696,1
-1.316916,-5.166637,1
-5.546472,-8.371969,2
-5.716956,1.333331,2
-6.943999,-8.5374,2
-9.015973,-2.294723,2
-3.338984,-0.966963,2
-9.83529,-3.08798,2
-7.264091,-4.537653,2
-5.655882,-0.230256,2
-8.224213,-3.918734,2
-10.424784,-3.282966,2
-0.69704,-0.294617,2
-5.653512,2.757308,2
-7.822666,-2.969377,2
-8.710099,-4.053863,2
-9.319377,-2.507601,2
-7.435215,0.775178,2
-0.766229,0.125946,2
-0.473002,0.429423,2
-7.566081,-5.682733,2
-2.027157,1.550107,2
-5.855508,1.729245,2
-6.07525,-8.407578,2
-2.380265,0.245557,2
-1.460114,0.065181,2
-9.017944,-3.873325,2
-1.138971,-0.147315,2
-6.407639,0.724163,2
-8.850307,-5.572788,2
-6.081041,1.033522,2
-0.369165,0.34762,2
-0.121645,-1.639668,2
-8.014995,-0.566348,2
-7.414176,-1.163121,2
-1.719303,1.098199,2
-4.21676,-6.922328,2
-6.952834,-0.697493,2
-8.772223,-5.698567,2
-5.453815,-6.493942,2
-7.601706,-7.094721,2
-6.109568,-9.705839,2
-6.615249,-8.7461,2
-0.548979,0.501552,2
-8.067814,-7.182643,2
-3.916344,3.11673,2
-6.664221,-7.485599,2
-6.471107,1.668048,2
-7.931046,-6.689402,2
-3.918967,1.834691,2
1.180221,-0.085088,2
-2.305527,-0.10557,2
-8.05372,-2.603206,2
-6.280791,-0.414556,2
-4.572743,2.826288,2
-7.449142,-2.349511,2
0.988808,-0.787615,2
-5.146281,-9.084855,2
1.197736,-2.045807,2
-8.121984,-0.870975,2
-6.541954,-7.796207,2
-2.938638,1.080029,2
-6.057759,-7.617208,2
-7.513574,-6.479835,2
-0.790256,0.697485,2
-3.28985,0.901759,2
-6.282074,-0.384592,2
-8.833518,-3.343293,2
-8.971169,-7.148943,2
-3.08297,0.908811,2
-3.985507,1.468289,2
-6.073517,-0.263967,2
-1.036635,1.278144,2
-9.015053,-2.434004,2
-0.167849,-1.949264,2
-6.208692,-8.565404,2
-6.202401,-8.164712,2
-5.9876,-0.087109,2
-8.76169,-5.240998,2
-1.007153,0.996052,2
-6.795441,0.558766,2
-3.614171,0.9147,2
-1.203408,1.219304,2
-6.218516,-9.762097,2
-4.860818,1.267009,2
-7.994768,-5.182803,2
-5.445764,-5.612605,2
-1.233523,1.85123,2
-2.336444,1.615617,2
-8.969969,-6.845985,2
-4.852407,-0.938654,2
-9.100133,-2.595102,2
-7.576442,-6.992735,2
-6.824481,-0.351325,2
0.792708,-2.097414,2
-3.622195,2.326363,2
-4.145299,1.075017,2
-7.116001,-0.157757,2
-8.586611,-3.672951,2
-1.721838,0.635852,2
-7.041615,-0.733084,2
-9.37601,-2.202745,2
-8.719308,-1.920739,2
-3.279185,-0.312825,2
-8.847503,-4.096629,2
-8.793088,-5.86929,2
-1.586902,-0.496995,2
-2.309463,-0.921737,2
0.194591,-2.253627,2
0.834725,-0.421034,2
-1.784106,1.131148,2
-6.591212,-1.895388,2
-0.268397,-1.019488,2
-6.423078,-0.636529,2
-7.694256,-4.857651,2
-9.242597,-6.34591,2
-6.928423,1.53066,2
-6.031415,-6.731184,2
0.912364,-0.353413,2
-4.837905,0.514567,2
-6.17849,1.602098,2
-3.86744,2.283799,2
-8.174311,-1.847146,2
-9.174311,-3.785218,2
-1.867666,0.248992,2
-8.672405,0.235381,2
-8.146918,-3.586603,2
-3.055105,1.303152,2
-3.320157,1.12996,2
-10.715842,-4.53902,2
-5.808512,0.453271,2
-7.856417,-3.555528,2
-6.946342,-6.975643,2
-1.789101,0.432776,2
-9.547001,-1.254467,2
-0.268625,0.389615,2
-9.659991,-6.150674,2
-3.622859,0.468273,2
-5.286423,2.272645,2
-7.399269,-7.773705,2
-8.960966,-3.974594,2
-7.561997,-6.661385,2
-8.613532,-8.155542,2
-9.310319,-5.852983,2
-6.067732,0.617293,2
-8.309994,-2.853591,2
-2.147954,0.289907,2
-2.521216,0.41851,2
-8.797149,-3.69755,2
-3.871343,2.575021,2
-7.21702,-6.159521,2
-6.735837,0.222505,2
-1.645914,1.006757,2
-8.805785,-2.790963,2
0.606772,-0.774585,2
-8.114967,-6.393685,2
-7.531915,-5.110958,2
-8.859485,-3.498179,2
-6.219242,1.278888,2
-0.876358,0.783872,2
-2.227721,-0.08884,2
-0.336319,-1.57569,2
-7.606203,-6.27166,2
-0.703611,1.305016,2
-2.851666,2.543452,2
-8.435946,-6.027615,2
-1.975995,1.322193,2
2.419403,-2.249905,2
-1.827716,0.593078,2
-6.781101,1.125228,2
1.103294,-2.8935,2
-4.955938,1.412113,2
-0.123131,3.809946,2
-8.240623,-2.380637,2
0.905365,-1.323663,2
-7.378152,1.000562,2
-0.722377,-0.663728,2
-5.392881,0.937464,2
-1.688099,0.296828,2
-8.39976,-2.136845,2
-1.305184,-0.106525,2
-7.136529,-8.276039,2
-6.254847,0.524988,2
-3.525736,2.012189,2
